Handle,Title,Family,Type,Metal,Colors,Family partner?,Picks
stacey-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,Stacey Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds,stacey,necklace,rose,clear,yes,Stacey Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds (15360*) | Stacey Rose Gold Premium Rhodium-Plated Alloy Bracelet with High-Quality Simulated Diamonds (15300*) | Stacey Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds (15260*) | Althea Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds (3220)
stacey-rose-gold-premium-rhodium-plated-alloy-bracelet-with-high-quality-simulated-diamonds,Stacey Rose Gold Premium Rhodium-Plated Alloy Bracelet with High-Quality Simulated Diamonds,stacey,bracelet,rose,clear,yes,Stacey Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds (15360*) | Stacey Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds (15340*) | Stacey Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds (15260*) | Althea Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds (3220)
stacey-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,Stacey Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds,stacey,ring,rose,clear,yes,Stacey Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds (15360*) | Stacey Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds (15340*) | Stacey Rose Gold Premium Rhodium-Plated Alloy Bracelet with High-Quality Simulated Diamonds (15300*) | Althea Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds (3220)
octavia-rose-gold-premium-rhodium-plated-alloy-bangle-with-high-quality-simulated-diamonds,Octavia Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds,octavia,bangle,rose,clear,yes,Octavia Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds (15360*) | Octavia Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds (15340*) | Octavia Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds (15260*) | Karah Rose Gold Bracelet with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (3300)
octavia-rose-gold-premium-rhodium-plated-alloy-ring-with-high-quality-simulated-diamonds,Octavia Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds,octavia,ring,rose,clear,yes,Octavia Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds (15360*) | Octavia Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds (15340*) | Octavia Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds (15220*) | Karah Rose Gold Bracelet with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (3300)
octavia-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,Octavia Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds,octavia,earrings,rose,clear,yes,Octavia Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds (15340*) | Octavia Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds (15260*) | Octavia Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds (15220*) | Karah Rose Gold Bracelet with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (3300)
octavia-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,Octavia Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds,octavia,necklace,rose,clear,yes,Octavia Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds (15360*) | Octavia Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds (15260*) | Octavia Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds (15220*) | Karah Rose Gold Bracelet with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (3300)
agatha-rose-gold-premium-rhodium-plated-alloy-earrings-with-high-quality-simulated-diamonds,Agatha Rose Gold Premium Rhodium-Plated Alloy Earrings with High-Quality Simulated Diamonds,agatha,earrings,rose,clear,yes,Agatha Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds (15340*) | Karah Rose Gold Bracelet with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (3300) | Althea Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds (3260) | Althea Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds (3220)
agatha-rose-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,Agatha Rose Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds,agatha,necklace,rose,clear,yes,Agatha Rose Gold Premium Rhodium-Plated Alloy Earrings with High-Quality Simulated Diamonds (15360*) | Karah Rose Gold Bracelet with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (3300) | Althea Rose Gold Premium Rhodium-Plated Alloy Ring with High-Quality Simulated Diamonds (3260) | Althea Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds (3220)
carina-gold-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,"Carina Gold Luxury Bridal Full Set with High-Quality Simulated Diamonds, Rhodium Plated",carina,set,white,clear,no,Abla Blue Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9260) | Abla Red Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9260) | Adesina Green Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9260) | Agnese Tricolor Ring with Certificate | High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9260)
keyla-yellow-luxury-bridal-long-chain-full-set-with-high-quality-simulated-diamonds,Keyla Yellow Luxury Bridal Long Chain Full Set with High-Quality Simulated Diamonds,keyla,set,!! NONE,clear yellow,no,Isabell Yellow and White Pear Cut Ring in 925 Silver With High Quality Simulated Diamonds (7460) | Kiana Yellow Flower Design Ring With High Quality Simulated Diamonds in 925 Silver (7460) | Lorena Yellow and White Ring in 925 Silver With High Quality Simulated Diamonds (7460) | Martina Yellow Ring with Certified Premium Simulated Diamonds in 925 Sterling Silver (7460)
rahima-gold-luxury-bridal-full-set-with-high-quality-simulated-diamonds-and-rhodium-plating,Rahima Gold Luxury Bridal Full Set with High-Quality Simulated Diamonds and Rhodium Plating,rahima,set,white,clear,no,Abla Blue Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9260) | Abla Red Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9260) | Adesina Green Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9260) | Agnese Tricolor Ring with Certificate | High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9260)
ayrine-white-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Ayrine White Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,ayrine,set,white,clear white,no,Amor White Cushion Cut Ring in 925 Silver With High Quality Simulated Diamonds (9460) | Aryana White Emerald Cut Ring in 925 Silver With High Quality Simulated Diamonds (9460) | Cheska White Pear-Cut Halo Ring in 925 Silver with Premium Simulated Diamonds (9460) | Glaiza White Ring in 925 Silver with Premium Simulated Diamonds (9460)
rizza-blue-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Rizza Blue Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,rizza,set,white,blue clear,no,Abla Blue Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9520) | Isabell Blue and White Pear Cut Ring in 925 Silver With High Quality Simulated Diamonds (9520) | Omnia Aleyna Royal Blue Stone Silver RIng in 925 Silver with High Quality Simulated Diamonds (9520) | Omnia Jovie Royal Blue Princess Cut Statement Ring in 92.5 Silver with High-Quality Simulated Diamonds (9520)
rizza-green-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Rizza Green Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,rizza,set,white,clear green,no,Adesina Green Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9520) | Destiny Green Ring with Certified Premium Simulated Diamonds in 925 Sterling Silver (9520) | Kamili Green Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9520) | Omnia Damiyah Emerald Green Floral Silver Ring in 925 Silver with High Quality Simulated Diamonds (9520)
rizza-ruby-red-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Rizza Ruby Red Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,rizza,set,white,clear red,no,Omnia Nayeli Floral Halo Ring with Ruby Red Simulated Diamonds in 925 Silver (9580) | Abla Red Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9520) | Catriona Red Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9520) | Malaika Imperial Red Gemstone Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9520)
rizza-pink-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Rizza Pink Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,rizza,set,white,clear pink,no,Annie Pink Ring with Certified Premium Simulated Diamonds in 925 Sterling Silver (9520) | Charlize Pink Princess-Cut Inspired Ring in 925 Silver with Premium Simulated Diamonds (9520) | Isabell Pink and White Pear Cut Ring in 925 Silver With High Quality Simulated Diamonds (9520) | Lauryn Pink Ring with Certified Premium Simulated Diamonds in 925 Sterling Silver (9520)
rizza-yellow-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Rizza Yellow Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,rizza,set,white,clear yellow,no,Isabell Yellow and White Pear Cut Ring in 925 Silver With High Quality Simulated Diamonds (9460) | Kiana Yellow Flower Design Ring With High Quality Simulated Diamonds in 925 Silver (9460) | Lorena Yellow and White Ring in 925 Silver With High Quality Simulated Diamonds (9460) | Martina Yellow Ring with Certified Premium Simulated Diamonds in 925 Sterling Silver (9460)
rizza-white-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Rizza White Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,rizza,set,white,clear white,no,Amor White Cushion Cut Ring in 925 Silver With High Quality Simulated Diamonds (9460) | Aryana White Emerald Cut Ring in 925 Silver With High Quality Simulated Diamonds (9460) | Cheska White Pear-Cut Halo Ring in 925 Silver with Premium Simulated Diamonds (9460) | Glaiza White Ring in 925 Silver with Premium Simulated Diamonds (9460)
jemila-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Jemila Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,jemila,set,white,clear,no,Abla Blue Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9260) | Abla Red Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9260) | Adesina Green Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9260) | Agnese Tricolor Ring with Certificate | High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9260)
adaliya-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Adaliya Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,adaliya,set,white,clear,no,Abla Blue Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9260) | Abla Red Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9260) | Adesina Green Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9260) | Agnese Tricolor Ring with Certificate | High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9260)
christine-green-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Christine Green Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,christine,set,white,clear green,no,Adesina Green Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9520) | Destiny Green Ring with Certified Premium Simulated Diamonds in 925 Sterling Silver (9520) | Kamili Green Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9520) | Omnia Damiyah Emerald Green Floral Silver Ring in 925 Silver with High Quality Simulated Diamonds (9520)
christine-pink-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Christine Pink Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,christine,set,white,clear pink,no,Annie Pink Ring with Certified Premium Simulated Diamonds in 925 Sterling Silver (9520) | Charlize Pink Princess-Cut Inspired Ring in 925 Silver with Premium Simulated Diamonds (9520) | Isabell Pink and White Pear Cut Ring in 925 Silver With High Quality Simulated Diamonds (9520) | Lauryn Pink Ring with Certified Premium Simulated Diamonds in 925 Sterling Silver (9520)
christine-blue-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Christine Blue Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,christine,set,white,blue clear,no,Abla Blue Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9520) | Isabell Blue and White Pear Cut Ring in 925 Silver With High Quality Simulated Diamonds (9520) | Omnia Aleyna Royal Blue Stone Silver RIng in 925 Silver with High Quality Simulated Diamonds (9520) | Omnia Jovie Royal Blue Princess Cut Statement Ring in 92.5 Silver with High-Quality Simulated Diamonds (9520)
christine-yellow-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Christine Yellow Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,christine,set,white,clear yellow,no,Isabell Yellow and White Pear Cut Ring in 925 Silver With High Quality Simulated Diamonds (9460) | Kiana Yellow Flower Design Ring With High Quality Simulated Diamonds in 925 Silver (9460) | Lorena Yellow and White Ring in 925 Silver With High Quality Simulated Diamonds (9460) | Martina Yellow Ring with Certified Premium Simulated Diamonds in 925 Sterling Silver (9460)
christine-red-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Christine Red Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,christine,set,white,clear red,no,Abla Red Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9520) | Catriona Red Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9520) | Malaika Imperial Red Gemstone Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9520) | Omnia Aleyna Red Stone Silver Ring in 925 Silver with High Quality Simulated Diamonds (9520)
christine-white-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Christine White Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,christine,set,white,clear white,no,Amor White Cushion Cut Ring in 925 Silver With High Quality Simulated Diamonds (9460) | Aryana White Emerald Cut Ring in 925 Silver With High Quality Simulated Diamonds (9460) | Cheska White Pear-Cut Halo Ring in 925 Silver with Premium Simulated Diamonds (9460) | Glaiza White Ring in 925 Silver with Premium Simulated Diamonds (9460)
trinity-blue-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Trinity Blue Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,trinity,set,white,blue clear,no,Abla Blue Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9520) | Isabell Blue and White Pear Cut Ring in 925 Silver With High Quality Simulated Diamonds (9520) | Omnia Aleyna Royal Blue Stone Silver RIng in 925 Silver with High Quality Simulated Diamonds (9520) | Omnia Jovie Royal Blue Princess Cut Statement Ring in 92.5 Silver with High-Quality Simulated Diamonds (9520)
seema-white-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Seema White Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,seema,set,white,clear white,no,Amor White Cushion Cut Ring in 925 Silver With High Quality Simulated Diamonds (9460) | Aryana White Emerald Cut Ring in 925 Silver With High Quality Simulated Diamonds (9460) | Cheska White Pear-Cut Halo Ring in 925 Silver with Premium Simulated Diamonds (9460) | Glaiza White Ring in 925 Silver with Premium Simulated Diamonds (9460)
daryan-green-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Daryan Green Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,daryan,set,white,clear green,no,Adesina Green Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9520) | Destiny Green Ring with Certified Premium Simulated Diamonds in 925 Sterling Silver (9520) | Kamili Green Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9520) | Omnia Damiyah Emerald Green Floral Silver Ring in 925 Silver with High Quality Simulated Diamonds (9520)
daryan-blue-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Daryan Blue Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,daryan,set,white,blue clear,no,Abla Blue Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9520) | Isabell Blue and White Pear Cut Ring in 925 Silver With High Quality Simulated Diamonds (9520) | Omnia Aleyna Royal Blue Stone Silver RIng in 925 Silver with High Quality Simulated Diamonds (9520) | Omnia Jovie Royal Blue Princess Cut Statement Ring in 92.5 Silver with High-Quality Simulated Diamonds (9520)
daryan-red-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Daryan Red Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,daryan,set,white,clear red,no,Abla Red Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9520) | Catriona Red Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9520) | Malaika Imperial Red Gemstone Ring with Certified High-Quality Premium Simulated Diamonds in 925 Sterling Silver (9520) | Omnia Aleyna Red Stone Silver Ring in 925 Silver with High Quality Simulated Diamonds (9520)
simra-multicolor-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Simra Multicolor Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,simra,set,white,clear multi,no,"Azelene Royal Marquise Cut Ring with Simulated Diamonds, Multi-Color Crystals, and Certificate in 925 Sterling Silver (9460) | Omnia Feda Multi Color Silver Ring in 925 Silver High Quality Simulated Diamonds Stones (9460) | Abla Blue Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9260) | Abla Red Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9260)"
kenzy-multicolor-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Kenzy Multicolor Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,kenzy,set,white,clear multi,no,"Azelene Royal Marquise Cut Ring with Simulated Diamonds, Multi-Color Crystals, and Certificate in 925 Sterling Silver (9460) | Omnia Feda Multi Color Silver Ring in 925 Silver High Quality Simulated Diamonds Stones (9460) | Abla Blue Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9260) | Abla Red Floral Ring in 925 Silver with Marquise and Pear-Cut High-Quality Simulated Diamonds (9260)"
daryan-white-luxury-bridal-full-set-with-high-quality-simulated-diamonds-rhodium-plated,Daryan White Luxury Bridal Full Set with High-Quality Simulated Diamonds – Rhodium Plated,daryan,set,white,clear white,no,Amor White Cushion Cut Ring in 925 Silver With High Quality Simulated Diamonds (9460) | Aryana White Emerald Cut Ring in 925 Silver With High Quality Simulated Diamonds (9460) | Cheska White Pear-Cut Halo Ring in 925 Silver with Premium Simulated Diamonds (9460) | Glaiza White Ring in 925 Silver with Premium Simulated Diamonds (9460)
